Image,NetworkStyle,NetworkCyto,DownloadFile,Nodes,Edges,nodeDescription,edgeDescription,DatabaseName,DatabaseVersion,DatabaseFilters,Query,datasetEntryType,datasetNumEntries,edgeFormationMethodTool,EdgeFormationDescription,visualizationTool,Disease,Species,sampleTissueType,networkType,networkDescription,nodeLegendSize,nodeLegendColour,edgeLegendThickness,edgeLegendColour,notes/remarks,Curated
Mitochondrial diseases.png,4 Mitochondrial Diseases/Mitochondrial diseases styles.json,4 Mitochondrial Diseases/Mitochondrial diseases.cyjs,NetworkFile/4 Mitochondrial Diseases/Mitochondrial diseases default  edge.csv,269,1104,"Genes associated with Mitochondrial Diseases, Mitochondrial Myopathies, Mitochondrial Encephalomyopathies and Chronic Progressive External Ophthalmoplegia and Drugs associated with those genes","gene-gene interaction, gene-drug interaction","Human Symptoms Disease Network, DisGeNet, DrugBank","Human Symptoms Disease Network: Publication of 2014, DisGeNet: 7, DrugBank: 28/08/2022","HSDN: symptoms similarity score>=0.8, Disgenet: gda score>=0.1","DisGeNet: Mitochondrial Diseases, Mitochondrial Myopathies, Mitochondrial Encephalomyopathies and Chronic Progressive External Ophthalmoplegia","Diseases, Genes","78, 75, 16, 26","STRING db, CyTargetLinker","gene-gene interactions, gene-drug interactions",Cytoscape,"Mitochondrial Diseases, Mitochondrial Myopathies, Mitochondrial Encephalomyopathies and Chronic Progressive External Ophthalmoplegia",Homo Sapiens (human),,protein,Associations between genes that are related with Adenocarcinoma,,,,,,
adenocarcinoma.png,Adenocarcinoma/adenocarcinoma styles.json,Adenocarcinoma/adenocarcinoma.cyjs,NetworkFile/Adenocarcinoma/adenocarcinoma default edge.csv,123,1146,Genes accosiated with Adenocarcinoma,gene-gene interaction,disgenet,7,none,Adenocarcinoma,Gene,123,STRING,protein-protein associations,Cytoscape,Adenocarcinoma,C. Elegans,,neurons and synapses,All synapses (chemical and electrical) of the hermaphrodite C. Elegans,NumberOfUndirectedEdges,Type of neuron,,Type of synapse,,
herm.png,All Synapses of the Hermaphrodite C. Elegans/styles.json,All Synapses of the Hermaphrodite C. Elegans/herm.cyjs,NetworkFile/All Synapses of the Hermaphrodite C. Elegans/herm_edgelist.csv,363,5757,"Neurons of the hermaphrodite C. Elegans, with color depending on their type/function",all synapses (chemical and electrical) between those two neurons,Worm Wiring,,,,Corrected adjacency files,,R,all synapses (chemical and electrical) between those two neurons,Cytoscape,All Synapses,C. Elegans,,neurons and synapses,All synapses (chemical and electrical) of the male C. Elegans,NumberOfUndirectedEdges,Type of neuron,,Type of synapse,,
male.png,All Synapses of the Male C. Elegans/styles.json,All Synapses of the Male C. Elegans/male.cyjs,NetworkFile/All Synapses of the Male C. Elegans/male_elec_edgelist.csv,330,5894,"Neurons of the male C. Elegans, with color depending on their type/function",all synapses (chemical and electrical) between those two neurons,Worm Wiring,,,,Corrected adjacency files,,R,all synapses (chemical and electrical) between those two neurons,Cytoscape,All Synapses,Homo Sapiens (human),,protein,Proteins associated with Alzheimer's disease linked with common subcellular location,degree,degree,weight,weight,"a text file was downloaded from uniprot following tthe above query and filters, and processed with R",
Alzheimer_Subcellular_locations_all.png,Alzheimer's Subcellular Locations all/Alzheimer_Subcellular_locations_all_styles.json,Alzheimer's Subcellular Locations all/Alzheimer_Subcellular_locations_all.cyjs,NetworkFile/Alzheimer's Subcellular Locations all/Alzheimer_Subcellular_locations_all_edge.csv,211,7295,Proteins accosiated with Alzheimer's disease,common subcellular location,UniprotKB,2022_03,"Human, Reviewed (Swiss-Prot)",Alzheimer's disease,Proteins,211,List2Net,Common subcellular location terms,Cytoscape,Alzheimer's disease,Homo Sapiens (human),,protein,Proteins associated with Alzheimer's disease linked with more that one common subcellular location,degree,degree,weight,weight,"a text file was downloaded from uniprot following tthe above query and filters, and processed with R",
Alzheimer_Subcellular_locations_greater_1.png,Alzheimer's Subcellular Locations greater 1/Alzheimer_Subcellular_locations_greater_1_styles.json,Alzheimer's Subcellular Locations greater 1/Alzheimer_Subcellular_locations_greater_1.cyjs,NetworkFile/Alzheimer's Subcellular Locations greater 1/Alzheimer_Subcellular_locations_greater_1_edge.csv,148,1594,Proteins accosiated with Alzheimer's disease,common subcellular location,UniprotKB,2022_03,"Human, Reviewed (Swiss-Prot)",Alzheimer's disease,Proteins,211,List2Net,Common subcellular location terms edge with weight greater than one,Cytoscape,Alzheimer's disease,Homo Sapiens (human),,disease,Interactions between genes that are associated with autoimmune diseases,,,,,,
Autoimmune diseases.png,,Autoimmune diseases/autoimmune diseases.cyjs,NetworkFile/Autoimmune diseases/autoimmune diseases.csv,17,81,Autoimmune diseases,disease-disease interaction,disgenet,7,none ,,Genes,17,,disease-disease associations,Cytoscape,Autoimmune diseases,Homo Sapiens (human),,disease,Associations between various types of diseases of human bones,,,,,,
bone diseases.png,Bone diseases/bone diseases style.json,Bone diseases/bone diseases.cyjs,NetworkFile/Bone diseases/bone diseases default edge.csv,10,33,Bone diseases,disease-disease interaction,disgenet,7,none,"Adams-Oliver syndrome, Bone neoplasms, Chondroblastoma, Enchondroma, Fibrous Dysplasia, Hypophosphatasia, Klippel-Feil Syndrome, Osteoid osteoma, Osteophyte, Osteoporosis",Gene,10,List2Net,disease-disease associations,Cytoscape,Bone diseases,,,protein,Associations between genes that are associated with an unfavorable prognosis in Breast cancer,,,,,,
Breast gene drugs.png,Breast cancer drugs/Breast gene drugs styles.json,Breast cancer drugs/Breast gene drugs.cyjs,NetworkFile/Breast cancer drugs/Breast gene drugs.csv,157,340,Unfavorable prognostic genes in Breast cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,157,STRING db,protein-protein associations,Cytoscape,Breast Cancer,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Breast cancer and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
Breast.png,,Breast/Breast.cyjs,NetworkFile/Breast/Breast default edge.csv,390,554,Unfavorable prognostic genes in Breast cancer and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",390,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Breast Cancer,Homo Sapiens (human),,KEGG Pathways,"Common KEGG Pathways based on proteins that associated with Breast, Endometrium and Ovary cancer",,,,,,
